Trap,Visit1,Visit2,Visit3,Visit4,Visit5,Visit6,Visit7,Visit8,Visit9,Visit10,Visit11,Visit12,GroundCover,AvgDiameter,Julian1,Julian2,Julian3,Julian4,Julian5,Julian6,Julian7,Julian8,Julian9,Julian10,Julian11,Julian12,Precip1,Precip2,Precip3,Precip4,Precip5,Precip6,Precip7,Precip8,Precip9,Precip10,Precip11,Precip12
M3,1,0,0,0,0,0,0,1,1,0,0,1,0.15,38.33,137,139,140,143,146,150,152,154,157,159,161,163,0,11.8,0,3.1,0.8,0,0,0,0,0,11.2,0
M4,0,0,0,0,0,0,0,0,0,0,0,0,0.05,61.67,137,139,140,143,146,150,152,154,157,159,161,163,0,11.8,0,3.1,0.8,0,0,0,0,0,11.2,0
M5,0,0,0,0,0,0,0,0,0,0,0,0,0.2,67,137,139,140,143,146,150,152,154,157,159,161,163,0,11.8,0,3.1,0.8,0,0,0,0,0,11.2,0
M6,0,0,0,0,0,0,0,1,0,0,0,0,0.45,96,137,139,140,143,146,150,152,154,157,159,161,163,0,11.8,0,3.1,0.8,0,0,0,0,0,11.2,0
M7,0,2,0,2,0,0,0,1,1,0,0,0,0.9,68.57,137,139,140,143,146,150,152,154,157,159,161,163,0,11.8,0,3.1,0.8,0,0,0,0,0,11.2,0
M8,0,0,0,0,0,0,0,0,0,0,0,0,0.8,133.33,137,139,140,143,146,150,152,154,157,159,161,163,0,11.8,0,3.1,0.8,0,0,0,0,0,11.2,0
M9,0,0,0,0,0,0,0,0,1,0,0,0,0.5,46.67,137,139,140,143,146,150,152,154,157,159,161,163,0,11.8,0,3.1,0.8,0,0,0,0,0,11.2,0
M10,0,0,0,0,0,0,1,0,0,0,0,0,0.2,68.33,137,139,140,143,146,150,152,154,157,159,161,163,0,11.8,0,3.1,0.8,0,0,0,0,0,11.2,0
M11,0,0,0,0,0,0,0,0,0,0,0,0,0.8,73,137,139,140,143,146,150,152,154,157,159,161,163,0,11.8,0,3.1,0.8,0,0,0,0,0,11.2,0
M12,0,0,0,0,0,0,0,0,0,0,0,0,0.95,74.167,137,139,140,143,146,150,152,154,157,159,161,163,0,11.8,0,3.1,0.8,0,0,0,0,0,11.2,0
M13,0,0,0,0,0,0,0,0,0,0,0,0,0.1,49,137,139,140,143,146,150,152,154,157,159,161,163,0,11.8,0,3.1,0.8,0,0,0,0,0,11.2,0
M14,1,0,0,0,0,0,0,0,0,0,1,0,0.45,32.5,137,139,140,143,146,150,152,154,157,159,161,163,0,11.8,0,3.1,0.8,0,0,0,0,0,11.2,0
M15,0,0,0,0,0,0,0,0,0,0,0,0,0.15,124,137,139,140,143,146,150,152,154,157,159,161,163,0,11.8,0,3.1,0.8,0,0,0,0,0,11.2,0
M16,0,0,0,0,0,0,0,0,0,0,0,0,0.4,80,137,139,140,143,146,150,152,154,157,159,161,163,0,11.8,0,3.1,0.8,0,0,0,0,0,11.2,0
M17,0,0,0,0,0,0,0,0,0,0,0,0,0.1,100,137,139,140,143,146,150,152,154,157,159,161,163,0,11.8,0,3.1,0.8,0,0,0,0,0,11.2,0
M18,0,0,0,0,0,0,0,0,0,0,1,2,0.45,90,137,139,140,143,146,150,152,154,157,159,161,163,0,11.8,0,3.1,0.8,0,0,0,0,0,11.2,0
M19,0,0,0,0,0,0,0,0,0,0,0,0,0.75,110,137,139,140,143,146,150,152,154,157,159,161,163,0,11.8,0,3.1,0.8,0,0,0,0,0,11.2,0
M20,0,0,0,0,0,1,0,0,1,1,0,0,0.25,56.83,137,139,140,143,146,150,152,154,157,159,161,163,0,11.8,0,3.1,0.8,0,0,0,0,0,11.2,0
M21,0,0,0,0,0,0,0,0,1,0,1,1,0.85,68.75,137,139,140,143,146,150,152,154,157,159,161,163,0,11.8,0,3.1,0.8,0,0,0,0,0,11.2,0
M22,0,0,0,0,0,0,0,0,0,0,0,0,0.9,68,137,139,140,143,146,150,152,154,157,159,161,163,0,11.8,0,3.1,0.8,0,0,0,0,0,11.2,0
M23,0,0,0,0,0,0,0,0,1,1,0,0,0.4,100,137,139,140,143,146,150,152,154,157,159,161,163,0,11.8,0,3.1,0.8,0,0,0,0,0,11.2,0
M24,0,0,0,0,0,0,0,0,0,0,0,1,0.8,61.25,137,139,140,143,146,150,152,154,157,159,161,163,0,11.8,0,3.1,0.8,0,0,0,0,0,11.2,0
M25,0,0,0,0,0,0,0,0,0,1,0,0,0.05,88.5,137,139,140,143,146,150,152,154,157,159,161,163,0,11.8,0,3.1,0.8,0,0,0,0,0,11.2,0
